Case_ID,Claim_ID,Opportunity_Name,Amount,Stage,Detection_Method,Claim_Source,Extracted_Claim_Type,Extracted_Claim_Normalized,Evidence_Required,Evidence_Observed,Proposed_State
C001,C001-CL01,Vertex Consulting Modernization 117,1047688,Needs Analysis,LLM,"Deal is on track. Strong momentum.",deal_momentum,"The opportunity has positive momentum and is moving toward close.","Recent activity and/or stage progression","No tasks; No LastActivityDate; No stage progression",UNSUPPORTED
C002,C002-CL01,Acme Corp Implementation 101,531850,Needs Analysis,LLM,"Everything is green. Should close next quarter.",deal_momentum,"The opportunity has positive momentum and is moving toward close.","Recent activity and/or stage progression","No tasks; No LastActivityDate; No stage progression",UNSUPPORTED
C003,C003-CL01,Pulse Health Modernization 097,500174,Needs Analysis,LLM,"CFO is supportive. Budget approved.",decision_maker_approved,"A decision maker has approved or is supportive.","Documented meeting or approval evidence","No documented approval; No tasks; No activity",UNSUPPORTED
C004,C004-CL01,SteelFab Implementation 081,313526,Needs Analysis,LLM,"Deal is moving well. Everything on track.",deal_momentum,"The opportunity has positive momentum and is moving toward close.","Recent activity and/or stage progression","No tasks; No LastActivityDate; No stage progression",UNSUPPORTED
C005,C005-CL01,Advanced Materials Modernization 07,281850,Needs Analysis,LLM,"Strong momentum. Champion is engaged.",deal_momentum,"The opportunity has positive momentum and is moving toward close.","Recent activity and/or stage progression","No tasks; No LastActivityDate; No stage progression",UNSUPPORTED
C005,C005-CL02,Advanced Materials Modernization 07,281850,Needs Analysis,LLM,"Strong momentum. Champion is engaged.",champion_engaged,"A champion is actively engaged and supportive.","Named contact plus recent meaningful activity","No tasks; No LastActivityDate; No stage progression",UNSUPPORTED
C006,C006-CL01,Edge Dynamics Implementation 061,242716,Needs Analysis,LLM,"No blockers. Legal review in progress.",blocker_mentioned,"A blocker, obstacle, or issue is mentioned.","Documented next steps, open issues, or process evidence","No documented next steps; No tasks; No activity",UNSUPPORTED
C007,C007-CL01,Cloud Innovations Modernization 057,211040,Needs Analysis,LLM,"Champion is engaged. Positive discussion.",champion_engaged,"A champion is actively engaged and supportive.","Named contact plus recent meaningful activity","No tasks; No LastActivityDate; No stage progression",UNSUPPORTED
C008,C008-CL01,Element Products Infrastructure,92716,Needs Analysis,KEYWORD_RULE,"Champion is engaged. Working through legal.",champion_engaged,"A champion is actively engaged and supportive.","Named contact plus recent meaningful activity","No tasks; No LastActivityDate; No stage progression",UNSUPPORTED
C009,C009-CL01,Nexus Advisory Implementation,74392,Needs Analysis,KEYWORD_RULE,"Champion is engaged. Working through legal.",champion_engaged,"A champion is actively engaged and supportive.","Named contact plus recent meaningful activity","No tasks; No LastActivityDate; No stage progression",UNSUPPORTED
C010,C010-CL01,MedTech International Implementation,66012,Qualification,KEYWORD_RULE,"Champion is engaged. Working through legal.",champion_engaged,"A champion is actively engaged and supportive.","Named contact plus recent meaningful activity","No tasks; No LastActivityDate; No stage progression",UNSUPPORTED
C011,C011-CL01,Vertex Consulting Modernization 017,16874,Qualification,KEYWORD_RULE,"Champion is engaged. Working through legal.",champion_engaged,"A champion is actively engaged and supportive.","Named contact plus recent meaningful activity","No tasks; No LastActivityDate; No stage progression",UNSUPPORTED
C012,C012-CL01,Acme Corp Implementation 001,10173,Prospecting,KEYWORD_RULE,"Deal is warm. Champion engaged. Legal review almost done.",champion_engaged,"A champion is actively engaged and supportive.","Named contact plus recent meaningful activity","No tasks; No LastActivityDate; No stage progression",UNSUPPORTED
