Sno,Id,Name,Amount,StageName,CloseDate,Description,CreatedDate
1,006f6000009YkCvAAK,Acme Corp Implementation 001,10173,Prospecting,1/12/2026,Champion is engaged. Working through legal review.,2026-08-15T10:04:31.000Z
2,006f6000009YkCwAAK,GlobalTech Solutions Cloud Integration 002,18092,Prospecting,2/18/2026,Competitor is also in negotiation.,2026-08-15T10:04:31.000Z
3,006f6000009YkCxAAK,MegaCorp Holdings Hybrid Cloud Solution 003,26011,Prospecting,3/27/2026,Procurement process started. Vendor qualification complete.,2026-08-15T10:04:31.000Z
4,006f6000009YkCyAAK,DataFlow Systems Enterprise License 004,33930,Prospecting,5/3/2026,Client wants to close by end of quarter.,2026-08-15T10:04:31.000Z
5,006f6000009YkCzAAK,SecureNet Solutions Security Assessment 005,41849,Prospecting,6/9/2026,Contract redlines being reviewed by legal.,2026-08-15T10:04:31.000Z
6,006f6000009YkD0AAK,Apex Technologies Cybersecurity Framework 006,49768,Prospecting,7/16/2026,Senior leadership approved. Next step: Contract negotiation.,2026-08-15T10:04:31.000Z
7,006f6000009YkD1AAK,Cloud Innovations Platform Migration 007,17686,Prospecting,8/22/2026,Deal value increased with additional services.,2026-08-15T10:04:31.000Z
8,006f6000009YkD2AAK,BrightWave Media Data Analytics 008,25605,Prospecting,9/28/2026,Close date moved due to procurement delays.,2026-08-15T10:04:31.000Z
9,006f6000009YkD3AAK,Nexus Solutions Business Intelligence 009,33524,Prospecting,11/4/2026,Budget is approved. Awaiting final signature.,2026-08-15T10:04:31.000Z
10,006f6000009YkD4AAK,Quantum Technologies Annual Subscription 010,41443,Prospecting,12/11/2026,Need to re-engage. No activity in 30 days.,2026-08-15T10:04:31.000Z
11,006f6000009YkD5AAK,Edge Dynamics Digital Transformation 011,49362,Prospecting,1/17/2027,Executive sponsor is on board.,2026-08-15T10:04:31.000Z
12,006f6000009YkD6AAK,Frontline Systems Automation Initiative 012,17280,Prospecting,2/23/2027,Procurement team is conducting vendor assessment.,2026-08-15T10:04:31.000Z
13,006f6000009YkD7AAK,Horizon Technologies Managed Services 013,25199,Qualification,4/1/2027,Deal is moving to legal review phase.,2026-08-15T10:04:31.000Z
14,006f6000009YkD8AAK,Summit Financial Compliance Audit 014,33118,Qualification,5/8/2027,Competitor dropped out. Strong position.,2026-08-15T10:04:31.000Z
15,006f6000009YkD9AAK,Capital Partners CRM Optimization 015,41037,Qualification,6/14/2027,Deal involves 5 decision makers.,2026-08-15T10:04:31.000Z
16,006f6000009YkDAAA0,Strategic Advisory Professional Services 016,48956,Qualification,7/21/2027,Legal review in progress. Redlines exchanged.,2026-08-15T10:04:31.000Z
17,006f6000009YkDBAA0,Vertex Consulting Infrastructure Modernization 017,16874,Qualification,8/27/2027,Deal is warm. Champion committed.,2026-08-15T10:04:31.000Z
18,006f6000009YkDCAA0,Pinnacle Group ERP Upgrade 018,24793,Qualification,10/3/2027,Technical evaluation complete. Positive feedback.,2026-08-15T10:04:31.000Z
19,006f6000009YkDDAA0,Avance Solutions Software Deployment 019,50174,Qualification,11/9/2027,Deal is on hold. Waiting for internal approval.,2026-08-15T10:04:31.000Z
20,006f6000009YkDEAA0,HealthFirst Application Development 020,58093,Qualification,12/16/2027,Client has agreed to timeline. Working on SOW.,2026-08-15T10:04:31.000Z
21,006f6000009YkDFAA0,MedTech International Implementation 021,66012,Qualification,1/22/2026,Champion is engaged. Working through legal review.,2026-08-15T10:04:31.000Z
22,006f6000009YkDGAA0,CareStream Cloud Integration 022,73931,Qualification,2/28/2026,Competitor is also in negotiation.,2026-08-15T10:04:31.000Z
23,006f6000009YkDHAA0,Genuine Health Hybrid Cloud Solution 023,81850,Qualification,4/6/2026,Procurement process started. Vendor qualification complete.,2026-08-15T10:04:31.000Z
24,006f6000009YkDIAA0,Vitality Systems Enterprise License 024,89769,Qualification,5/13/2026,Client wants to close by end of quarter.,2026-08-15T10:04:31.000Z
