Claim_ID,Reviewer_Agreement,FINAL_Detection_Label,FINAL_Policy_Label,FINAL_State,FINAL_Usefulness,Adjudication_Notes,Adjudicator_ID,Adjudication_Date
C001-CL01,PARTIAL_RESOLVED,YES,REVISE,UNSUPPORTED,YES,"Policy disagreement resolved in favor of refinement. Retain UNSUPPORTED for this test, but add dated next steps, buyer engagement, and close-date movement as allowable momentum evidence.",AI-SIMULATED-ADJUDICATOR,2026-08-15
C002-CL01,PARTIAL_RESOLVED,YES,REVISE,UNSUPPORTED,YES,Retain the valid momentum claim and UNSUPPORTED state. Expand the momentum policy to include close-date history and dated next steps; assess the timing statement as a separate claim in recall testing.,AI-SIMULATED-ADJUDICATOR,2026-08-15
C003-CL01,PARTIAL_RESOLVED,YES,REVISE,UNSUPPORTED,YES,Clarify the evidence requirement by separating decision-maker support from formal budget approval. Accept meeting/contact evidence for support and an approval artifact or documented confirmation for budget approval.,AI-SIMULATED-ADJUDICATOR,2026-08-15
C004-CL01,FULL_AGREEMENT,YES,APPROPRIATE,UNSUPPORTED,YES,"Both reviewers agreed on detection, policy, state, and usefulness. No adjudication change required.",AI-SIMULATED-ADJUDICATOR,2026-08-15
C005-CL01,PARTIAL_RESOLVED,YES,REVISE,UNSUPPORTED,YES,"Retain UNSUPPORTED under the current policy. Refine momentum evidence beyond stage progression to include buyer-confirmed next steps, close-date behavior, and recent meaningful engagement.",AI-SIMULATED-ADJUDICATOR,2026-08-15
C005-CL02,FULL_AGREEMENT,YES,APPROPRIATE,UNSUPPORTED,YES,Both reviewers agreed that champion engagement requires a named contact and recent meaningful activity.,AI-SIMULATED-ADJUDICATOR,2026-08-15
C006-CL01,PARTIAL_RESOLVED,PARTIAL,REVISE,NOT_VERIFIABLE,YES,Change the final state to NOT_VERIFIABLE. Split the source into blocker_absence and legal_process_active claims before retesting; the current blocker_mentioned type conflates a negated claim with process status.,AI-SIMULATED-ADJUDICATOR,2026-08-15
C007-CL01,FULL_AGREEMENT,YES,APPROPRIATE,UNSUPPORTED,YES,"Both reviewers agreed on detection, evidence policy, proposed state, and usefulness.",AI-SIMULATED-ADJUDICATOR,2026-08-15
C008-CL01,FULL_AGREEMENT,YES,APPROPRIATE,UNSUPPORTED,YES,Both reviewers accepted the champion claim. Evaluate the separate legal-process statement in a future claim-coverage test.,AI-SIMULATED-ADJUDICATOR,2026-08-15
C009-CL01,FULL_AGREEMENT,YES,APPROPRIATE,UNSUPPORTED,YES,Both reviewers agreed that the champion-engagement exception is valid and actionable under the configured policy.,AI-SIMULATED-ADJUDICATOR,2026-08-15
C010-CL01,FULL_AGREEMENT,YES,APPROPRIATE,UNSUPPORTED,YES,Both reviewers agreed; retain the final labels without change.,AI-SIMULATED-ADJUDICATOR,2026-08-15
C011-CL01,PARTIAL_RESOLVED,YES,APPROPRIATE,UNSUPPORTED,YES,"Usefulness disagreement resolved as YES, with prioritization. Retain the exception but rank it below larger or later-stage opportunities when review capacity is constrained.",AI-SIMULATED-ADJUDICATOR,2026-08-15
C012-CL01,FULL_AGREEMENT,YES,APPROPRIATE,UNSUPPORTED,YES,Both reviewers accepted the champion claim and state. Treat the legal-review statement as a separate future coverage case.,AI-SIMULATED-ADJUDICATOR,2026-08-15
