Claim_ID,Reviewer_ID,Review_Date,Claim_Detection_Correct,Evidence_Policy_Appropriate,Proposed_State_Correct,Corrected_Claim_Type,Corrected_State,Business_Useful,Primary_Reason_Code,Reviewer_Notes,Reviewer_Confidence
C001-CL01,Manager1,2026-08-15,YES,YES,YES,,,YES,,"The note clearly asserts positive momentum. With no recent activity or stage progression, UNSUPPORTED follows the configured policy and would prompt a useful forecast question.",5
C001-CL01,Manager2,2026-08-15,YES,NO,YES,,,YES,EVIDENCE_RULE_INCORRECT,"The momentum claim is clear and the configured policy produces UNSUPPORTED correctly. For practical review, the policy should also consider dated next steps, buyer engagement, and close-date movement.",4
C002-CL01,Manager1,2026-08-15,YES,YES,YES,,,YES,,Everything is green and the expected close timing imply forward momentum. The absence of activity and stage movement makes the claim unsupported under the current policy.,5
C002-CL01,Manager2,2026-08-15,YES,NO,YES,,,YES,EVIDENCE_RULE_INCORRECT,"The momentum extraction is valid, although the note also contains a separate timing claim. The momentum policy should include close-date history and dated next steps in addition to activity and stage progression.",4
C003-CL01,Manager1,2026-08-15,YES,YES,YES,,,YES,,"CFO support and budget approval are material decision-maker claims. Without a documented meeting or approval record, surfacing this as UNSUPPORTED is appropriate and useful.",5
C003-CL01,Manager2,2026-08-15,YES,NO,YES,,,YES,EVIDENCE_RULE_INCORRECT,The claim is present and the proposed state follows the configured rule. The evidence policy should distinguish stakeholder support from formal budget approval and require evidence appropriate to each.,4
C004-CL01,Manager1,2026-08-15,YES,YES,YES,,,YES,,The note explicitly describes positive deal movement. Missing activity and stage progression support the proposed UNSUPPORTED state and warrant manager follow-up.,5
C004-CL01,Manager2,2026-08-15,YES,YES,YES,,,YES,,"The claim, evidence requirement, and proposed state are aligned. This would be a useful prompt to ask the seller for a dated next step or buyer interaction.",4
C005-CL01,Manager1,2026-08-15,YES,YES,YES,,,YES,,Strong momentum directly supports the deal_momentum extraction. The lack of logged activity and stage movement makes the exception valid under the current policy.,5
C005-CL01,Manager2,2026-08-15,YES,NO,YES,,,YES,EVIDENCE_RULE_INCORRECT,"The extraction is correct, but stage progression alone is not a sufficient momentum policy. The test should also consider buyer-confirmed next steps, close-date behavior, and recent meaningful engagement.",4
C005-CL02,Manager1,2026-08-15,YES,YES,YES,,,YES,,"Champion engagement is explicitly claimed. A named contact and recent meaningful activity are reasonable evidence requirements, so UNSUPPORTED is appropriate when both are absent.",5
C005-CL02,Manager2,2026-08-15,YES,YES,YES,,,YES,,The champion claim and evidence policy are appropriately matched. This is actionable because the manager can ask who the champion is and when the last meaningful interaction occurred.,5
C006-CL01,Manager1,2026-08-15,PARTIAL,NO,NO,,NOT_VERIFIABLE,YES,WRONG_CLAIM_TYPE,"The note combines an absence claim, no blockers, with an active legal-process claim. Treating both as blocker_mentioned is ambiguous; the current fields cannot verify the absence of blockers, so NOT_VERIFIABLE is safer.",4
C006-CL01,Manager2,2026-08-15,PARTIAL,NO,NO,,NOT_VERIFIABLE,UNSURE,WRONG_CLAIM_TYPE,"Legal review in progress is a process-status claim, while no blockers is a negated blocker claim. These should be split into separate claim types before deciding whether the output is useful.",5
C007-CL01,Manager1,2026-08-15,YES,YES,YES,,,YES,,"Champion engagement is explicit, and the policy reasonably expects a named contact plus recent activity. The unsupported state is useful for forecast inspection.",5
C007-CL01,Manager2,2026-08-15,YES,YES,YES,,,YES,,The extraction and state are correct under the configured evidence policy. The result gives the manager a concrete question about champion identity and recent engagement.,5
C008-CL01,Manager1,2026-08-15,YES,YES,YES,,,YES,,The keyword rule correctly identifies champion engagement. Missing contact-linked activity makes the claim unsupported and appropriate for review.,5
C008-CL01,Manager2,2026-08-15,YES,YES,YES,,,YES,,The champion claim is clear and the evidence requirement is operationally sensible. The separate legal statement should be evaluated as another claim in a future coverage test.,4
C009-CL01,Manager1,2026-08-15,YES,YES,YES,,,YES,,"The detected champion claim is explicit. With no qualifying activity or named-contact evidence, UNSUPPORTED correctly describes the CRM evidence gap.",5
C009-CL01,Manager2,2026-08-15,YES,YES,YES,,,YES,,This is a valid and actionable champion-engagement exception. The manager can request the champion name and the most recent meaningful buyer interaction.,5
C010-CL01,Manager1,2026-08-15,YES,YES,YES,,,YES,,"The keyword detection is correct and the evidence requirement is appropriate. At Qualification, lack of champion evidence is a meaningful review issue.",5
C010-CL01,Manager2,2026-08-15,YES,YES,YES,,,YES,,The proposed state follows the policy and would be useful during qualification review. It should trigger an evidence request rather than an assertion that the seller is wrong.,5
C011-CL01,Manager1,2026-08-15,YES,YES,YES,,,YES,,The claim is explicit and unsupported by the recorded CRM evidence. The output is useful as long as managers can prioritize exceptions rather than treating all amounts equally.,4
C011-CL01,Manager2,2026-08-15,YES,YES,YES,,,UNSURE,,"The claim and classification are correct, but usefulness may depend on deal priority and review capacity. I would retain the exception but rank it below larger or later-stage opportunities.",4
C012-CL01,Manager1,2026-08-15,YES,YES,YES,,,YES,,"Champion engagement is explicitly stated, and the evidence policy is reasonable. The unsupported result is useful even at Prospecting because it asks for basic stakeholder evidence.",5
C012-CL01,Manager2,2026-08-15,YES,YES,YES,,,YES,,The champion claim is correctly detected and unsupported under the configured evidence. Legal review almost done is a separate process claim that should be assessed in a future extraction-coverage test.,4
